,A1,A2.1,A2.2,A2.3,A2.4,A2.5,A2.6,A2.7,A2.8,A2.9,A2.10,A2.11,A2.12,A2.13,A3.1,A3.2,A3.3,A3.4,TXT,B1,B2,B3,B4,B5,                                                  
79,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,1,19,1,1,0,                                                                                                               
80,1,6,6,6,6,7,7,5,7,6,6,6,6,6,6,7,7,7,,1,21,1,1,0,                                                                                                               
81,1,4,3,4,3,5,3,4,5,6,3,4,3,4,4,5,4,3,,1,21,1,1,0,                                                                                                               
82,1,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,,1,19,1,1,,                                                                                                                
83,1,4,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,,1,20,1,1,0,                                                                                                               
84,1,5,6,6,7,7,6,5,5,6,5,5,5,5,7,6,6,6,,1,20,1,2,0,                                                                                                               
85,1,5,5,6,7,7,7,5,5,6,6,6,6,6,7,7,7,7,,1,25,2,1,1,                                                                                                               
86,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,1,23,1,1,0,                                                                                                               
87,1,5,3,2,6,6,5,7,6,4,4,6,6,6,5,5,6,6,,1,19,1,1,0,                                                                                                               
88,1,6,5,7,7,7,6,4,5,5,7,5,7,5,6,7,7,,,2,45,1,3,0,                                                                                                                
